id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration_ms,loudness,cluster
3pf96IFggfQuT6Gafqx2rt,0.088,0.647,0.868,0.124,0.129,0.106,121.82,0.804,242240,-6.427,3
4pbJqGIASGPr0ZpGpnWkDn,0.676,0.692,0.497,0.0,0.259,0.119,81.308,0.475,122067,-7.316,9
2AVkArcfALVk2X8sfPRzya,0.62,0.747,0.663,5.24e-05,0.0861,0.0545,124.336,0.606,216907,-9.415,5
1H4idkmruFoJBg1DvUv2tY,0.0832,0.479,0.601,0.00142,0.11,0.0318,124.966,0.669,313027,-8.806,25
7MF7QAodbGzNYav5ZfIhAY,0.271,0.595,0.379,2.81e-05,0.1,0.0454,92.006,0.448,279333,-12.058,23
2374M0fQpWi3dLnB54qaLX,0.257,0.671,0.373,8.01e-05,0.0481,0.0323,92.718,0.732,295893,-18.064,22
39shmbIHICJ2Wxnk1fPSdz,0.0804,0.743,0.836,0.0,0.384,0.116,113.375,0.82,188987,-6.465,3
1TfqLAPs4K3s2rJMoCokcS,0.225,0.692,0.711,0.0,0.12,0.0317,125.135,0.875,216933,-7.498,13
2v7ywbUzCgcVohHaKUcacV,0.432,0.66,0.629,7.3e-05,0.172,0.0387,111.926,0.324,340867,-12.359,23
6yJxCltgtmGxIgKOS6ndnu,0.484,0.502,0.305,3.55e-06,0.117,0.0339,131.242,0.248,291400,-16.011,23
5WDLRQ3VCdVrKw0njWe5E5,0.136,0.575,0.643,1.65e-06,0.249,0.0331,152.854,0.789,300107,-8.854,25
5zA8vzDGqPl2AzZkEYQGKh,0.0755,0.701,0.944,0.0,0.601,0.0455,128.993,0.792,197707,-2.986,18
2WfaOiMkCvy7F5fcp2zZ8L,0.018,0.573,0.902,0.00125,0.0928,0.054,84.412,0.876,225280,-7.638,3
2tUBqZG2AbRi7Q0BIrVrEj,0.207,0.709,0.824,0.000307,0.0888,0.0453,118.818,0.867,291293,-8.824,3
2u8MGAiS2hBVE7GZzTZLQI,0.104,0.685,0.858,0.000119,0.147,0.0348,92.305,0.692,229467,-6.496,3
5ChkMS8OtdzJeqyybCc9R5,0.0236,0.92,0.654,0.0153,0.036,0.0401,117.046,0.847,293827,-3.051,22
0ikz6tENMONtK6qGkOrU3c,0.271,0.62,0.573,0.0,0.0607,0.0423,81.548,0.897,231333,-11.893,22
5JvsxPAHsGxwNq4xto2HtM,0.108,0.539,0.583,0.0,0.111,0.0275,86.063,0.337,328093,-4.935,16
4y1LsJpmMti1PfRQV9AWWe,0.22,0.71,0.799,0.000602,0.349,0.0328,120.372,0.725,238267,-4.897,3
08mG3Y1vljYA6bvDt4Wqkj,0.011,0.31,0.7,0.00965,0.0828,0.047,188.386,0.763,255493,-5.678,25
37Q5anxoGWYdRsyeXkkNoI,0.0243,0.64,0.852,1.82e-06,0.0497,0.0345,122.902,0.793,246520,-8.119,3
1JSTJqkT5qHq8MDJnJbRE1,0.543,0.82,0.452,0.00294,0.0714,0.0348,117.401,0.74,253920,-9.796,5
4bHsxqR3GMrXTxEPLuK5ue,0.127,0.5,0.748,0.0,0.447,0.0363,118.852,0.514,250987,-9.072,14
1mCsF9Tw4AkIZOjvZbZZdT,0.195,0.917,0.588,0.0,0.0914,0.0607,110.077,0.828,184480,-11.047,22
4BFMQ15vXr626UOoZL8bUI,0.0874,0.7,0.781,0.00342,0.059,0.0507,108.695,0.385,289067,-8.255,1
3ix6K4wZY29bCujrSznwFZ,0.0125,0.654,0.743,0.0272,0.153,0.0605,114.846,0.632,457676,-7.44,1
4PTG3Z6ehGkBFwjybzWkR8,0.115,0.721,0.939,3.79e-05,0.108,0.0376,113.309,0.914,213573,-11.823,3
7wuJGgpTNzbUyn26IOY6rj,0.145,0.431,0.723,0.0,0.374,0.0568,130.141,0.19,267360,-5.887,16
5zWZ9iNevP0397xB3jWV2z,0.396,0.783,0.836,0.0236,0.135,0.0486,108.966,0.831,222667,-9.223,13
31MOjWj3CT3dCQsMV2b8Wu,6.47e-05,0.681,0.893,0.383,0.0626,0.0378,130.475,0.951,244720,-8.485,8
31H6au3jhblhr6MMJiXnCq,0.011,0.712,0.549,0.0,0.118,0.0254,109.882,0.552,251067,-9.484,22
52xaypL0Kjzk0ngwv3oBPR,0.027,0.762,0.8,5.83e-05,0.17,0.0449,138.823,0.9,258267,-6.244,3
0qxYx4F3vm1AOnfux6dDxP,0.182,0.776,0.763,0.00647,0.077,0.0534,128.433,0.82,280000,-8.124,3
4NnWuGQujzWUEg0uZokO5M,0.0524,0.437,0.94,0.000573,0.222,0.0426,151.417,0.48,212013,-6.946,17
2aEuA8PSqLa17Y4hKPj5rr,0.458,0.677,0.616,0.0132,0.349,0.032,114.223,0.851,226333,-13.826,5
7o9uu2GDtVDr9nsR7ZRN73,0.487,0.726,0.449,1.34e-06,0.0824,0.0286,130.388,0.294,241333,-9.206,23
5Hyr47BBGpvOfcykSCcaw9,0.0245,0.616,0.685,1.13e-05,0.0491,0.04,150.055,0.895,348333,-15.289,22
3BZGi1yUqQyCNC868AqUGG,0.069,0.748,0.414,0.0671,0.336,0.0405,97.646,0.239,286160,-15.15,7
380F1BfICubTjK77XhIPOR,0.33,0.415,0.38,7.68e-05,0.148,0.0423,114.735,0.102,324627,-8.252,23
0HEmnAUT8PHznIAAmVXqFJ,0.0094,0.887,0.48,3.58e-05,0.0662,0.117,95.846,0.607,193200,-11.994,22
5XcZRgJv3zMhTqCyESjQrF,0.0327,0.28,0.908,8.85e-06,0.18,0.109,118.698,0.26,270080,-5.509,17
0dOg1ySSI7NkpAe89Zo0b9,0.000373,0.398,0.952,7.75e-05,0.1,0.061,122.093,0.584,278680,-6.042,25
